id,UHE,Cenario,Estagio,Geracao
 1, 1,  1,2017-01-01,46.0
 2, 2,  1,2017-01-01,52.0
 3, 3,  1,2017-01-01,0.0
 4, 4,  1,2017-01-01,180.0
 5, 5,  1,2017-01-01,1312.0
 6, 6,  1,2017-01-01,478.0
 7, 7,  1,2017-01-01,1104.0
 8, 8,  1,2017-01-01,424.0
 9, 9,  1,2017-01-01,210.0
10,10,  1,2017-01-01,380.0
11,11,  1,2017-01-01,328.0
12,12,  1,2017-01-01,80.4000015258789
13,13,  1,2017-01-01,108.80000305175781
14,14,  1,2017-01-01,32.0
15,15,  1,2017-01-01,1488.0
16,16,  1,2017-01-01,1396.1999816894531
17,17,  1,2017-01-01,0.0
18,18,  1,2017-01-01,52.5
19,19,  1,2017-01-01,212.5800018310547
